"PLU","CATEGORY","COMMODITY","VARIETY","VARIETY-NEW","ADDITIONAL VARIETY INFO","VARIETY_INFO-NEW","SIZE","NA MEASUREMENTS","ROW MEASUREMENTS","RESTRICTIONS","NOTES","BOTANICAL NAME","BOTANICAL-OLD","AKA","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE"
"3000","Fruits","APPLES","Alkmene","Alkmene","","","All Sizes","","","","","Malus pumila
","Malus pumila","","2017-06-15 21:58:44","1999-12-31 00:00:00","10005900","",""
"3001","Fruits","APPLES","Aurora/Southern Rose","Aurora/Southern Rose","","","Small","100 size and smaller","Average Fruit Weight = less than 205g","","","Malus pumila
","Malus pumila","","2016-04-07 23:21:26","1999-12-31 00:00:00","10005900","",""
"3002","Fruits","APPLES","Cantared","Cantared","","","All Sizes","","","","","Malus pumila
","Malus pumila","","2016-04-07 23:22:02","1999-12-31 00:00:00","10005900","",""
"3003","Fruits","APPLES","D'Estivale","D'Estivale","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3004","Fruits","APPLES","Discovery","Discovery","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3005","Fruits","APPLES","Golden Delicious Blush","Golden Delicious Blush","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3006","Fruits","APPLES","Ingrid Marie","Ingrid Marie","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3007","Fruits","APPLES","Lochbuie","Lochbuie","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3008","Fruits","APPLES","Rubinette","Rubinette","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3009","Fruits","APPLES","Russet","Russet","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3010","Fruits","APPLES","Cripps Red","Cripps Red","","","Small","100 size and smaller","Average Fruit Weight = less than 205g","","","Malus pumila
","Malus pumila","Sundowner","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3011","Fruits","APPLES","Worcester","Worcester","","","All Sizes","","","","","Malus pumila
","Malus pumila","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900","",""
"3012","Fruits","PEARS","Abate Fetel","Abate Fetel","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3013","Fruits","PEARS","Beurre Hardy","Beurre Hardy","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3014","Fruits","PEARS","Bon Rouge","Bon Rouge","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3015","Fruits","PEARS","Clara Friis","Clara Friis","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3016","Fruits","PEARS","Concorde","Concorde","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3017","Fruits","PEARS","Conference","Conference","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3018","Fruits","PEARS","Durondeau","Durondeau","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3019","Fruits","PEARS","Flamingo","Flamingo","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3020","Fruits","PEARS","General Leclerc","General Leclerc","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3021","Fruits","PEARS","Guyot","Guyot","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","2017-06-15 20:35:20","1999-12-31 00:00:00","10005903","",""
"3022","Fruits","PEARS","Josephine","Josephine","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3023","Fruits","PEARS","Passe Crassane","Passe Crassane","","","Small","110 size and smaller","Average Fruit Weight = less than 180g","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3024","Fruits","PEARS","Rocha","Rocha","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3025","Fruits","PEARS","Rosemarie","Rosemarie","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3026","Fruits","PEARS","Triumph de Vienne","Triumph de Vienne","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3027","Fruits","ORANGES","Shamouti","Shamouti","","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3028","Fruits","ORANGES","Delta Seedless","Delta Seedless","","","Small","113 and smaller","Average Fruit Dimensions = less than 66mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3029","Fruits","TANGERINES/MANDARINS","Satsuma","Satsuma","","","All Sizes","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Citrus unshiu
","Citrus unshiu","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005887","",""
"3030","Fruits","TANGERINES/MANDARINS","Nova","Nova (includes Clemenvilla, Suntina)","Includes Clemenvilla and Suntina","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888","",""
"3031","Fruits","TANGERINES/MANDARINS","Jamaican Tangor","Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)","Includes Ortanique, Mandor, Mandora, Tambor, Topaz and Ortaline","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888","",""
"3032","Fruits","TANGERINES/MANDARINS","Ellendale","Ellendale","","","All Sizes","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888","",""
"3033","Fruits","MELON","Charentais","Charentais","","","Small","","Average Fruit Weight =  less than 625g","","","Cucumis melo
","Cucumis melo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006182","",""
"3034","Fruits","MELON","Charentais","Charentais","","","Large","","Average Fruit Weight =  625g and above","","","Cucumis melo
","Cucumis melo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006182","",""
"3035","Fruits","NECTARINE","White Flesh, Tree Ripened, Ready-to-eat","White Flesh, Tree Ripened, Ready-to-eat","","","Large","66 size and larger","Average Fruit Weight =  185g and above","","","Prunus persica
","Prunus persica","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005911","",""
"3036","Fruits","ORANGES","Midknight","Midknight","","","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3037","Fruits","PINEAPPLE","Queen","Queen","","","All Sizes","","","","Sizes for pineapple based on two-layer lug.","Ananas comosus
","Ananas comosus","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005935","",""
"3038","Fruits","PASSION FRUIT","Granadilla","Granadilla, Orange","Orange","","All Sizes","","","","","Passiflorae.var. flavicarpa
","Passiflorae.var. flavicarpa","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005951","",""
"3039","Fruits","PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","","","","","All Sizes","","","","","Physalis spp.
","Physalis spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005965","",""
"3040","Fruits","PITAHAYA","Red (skin color)","Red (skin color)","","","All Sizes","","","","","Hylocereus lindatus
","Hylocereus lindatus","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005958","",""
"3041","Fruits","RAMBUTAN","","","","","All Sizes","","","","","Nephelium lappaceum
","Nephelium lappaceum","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005966","",""
"3042","Fruits","MANGOSTEEN","","","","","All Sizes","","","","","Garcinia mangostana
","Garcinia mangostana","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005968","",""
"3043","Fruits","GRAPES","Italia","Italia, Seeded","Seeded","","All Sizes","","","","","Vitis vinifera
","Vitis vinifera","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005918","",""
"3044","Fruits","APRICOTS","Black","Black","","","All Sizes","","","","","Prunus armeniaca
","Prunus armeniaca","","2006-11-15 00:00:00","2006-11-15 00:00:00","10005905","",""
"3045","Fruits","DATES","Fresh","Fresh, On Branch","On Branch","","All Sizes","","","","","Phoenix dactylifera
","Phoenix dactylifera","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005959","",""
"3046","Fruits","DATES","Fresh","Fresh, Frozen","Frozen","","All Sizes","","","","","Phoenix dactylifera
","Phoenix dactylifera","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005959","",""
"3047","Fruits","DATES","Medjool","Medjool","","","All Sizes","","","","","Phoenix dactylifera
","Phoenix dactylifera","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005959","",""
"3048","Vegetables","BEANS","Helda/Flat","Helda/Flat","","","All Sizes","","","","","Phaseolus vulgaris
","Phaseolus vulgaris","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005980","",""
"3049","Vegetables","BEANS","Fine","Fine","","","All Sizes","","","","","Phaseolus vulgaris
","Phaseolus vulgaris","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005976","",""
